Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,198.550003,200.350006,197.020004,197.839996,197.839996,107700
2017-01-04,197.649994,198.660004,197.039993,197.940002,197.940002,120100
2017-01-05,197.660004,202.740005,197.660004,199.610001,199.610001,109300
2017-01-06,200.240005,201.860001,198.789993,199.169998,199.169998,74900
2017-01-09,199.690002,200.889999,196.669998,198.630005,198.630005,73100
2017-01-10,199.669998,200.960007,197.910004,200.779999,200.779999,66900
2017-01-11,197.539993,202.440002,197.539993,201.000000,201.000000,92200
2017-01-12,200.059998,201.160004,197.619995,200.470001,200.470001,58700
2017-01-13,201.580002,204.220001,201.119995,203.800003,203.800003,47500
2017-01-17,202.490005,202.490005,200.080002,200.919998,200.919998,48500
2017-01-18,201.410004,204.089996,200.419998,202.509995,202.509995,56500
2017-01-19,202.000000,202.000000,198.750000,199.000000,199.000000,78700
2017-01-20,198.750000,202.820007,197.869995,201.550003,201.550003,102400
2017-01-23,201.919998,205.919998,200.809998,205.100006,205.100006,65300
2017-01-24,202.070007,205.960007,199.000000,202.960007,202.960007,102200
2017-01-25,202.580002,204.889999,201.410004,203.300003,203.300003,84800
2017-01-26,203.529999,203.529999,199.240005,201.300003,201.300003,48400
2017-01-27,200.720001,202.889999,199.190002,199.580002,199.580002,69300
2017-01-30,198.580002,200.000000,196.669998,199.460007,199.460007,78900
2017-01-31,198.699997,202.490005,196.410004,201.300003,201.300003,111600
2017-02-01,198.229996,199.029999,191.509995,196.509995,196.509995,167800
2017-02-02,196.910004,197.580002,190.020004,191.500000,191.500000,141300
2017-02-03,192.669998,196.300003,192.669998,195.479996,195.479996,84600
2017-02-06,194.309998,194.630005,189.869995,190.300003,190.300003,63300
2017-02-07,190.679993,191.000000,187.309998,187.990005,187.990005,51500
2017-02-08,188.210007,189.720001,185.600006,187.490005,187.490005,47700
2017-02-09,186.179993,190.500000,186.179993,190.009995,190.009995,52400
2017-02-10,190.919998,190.919998,188.119995,189.350006,189.350006,37100
2017-02-13,190.550003,191.800003,188.490005,191.339996,191.339996,46800
2017-02-14,190.559998,193.960007,189.539993,192.990005,192.990005,86400
2017-02-15,192.740005,195.250000,187.880005,194.149994,194.149994,35400
2017-02-16,192.179993,193.559998,190.479996,192.679993,192.679993,48900
2017-02-17,192.119995,194.550003,191.289993,192.869995,192.869995,36900
2017-02-21,193.080002,197.220001,191.520004,195.800003,195.800003,84300
2017-02-22,195.669998,197.009995,192.669998,194.600006,194.600006,57600
2017-02-23,194.990005,196.179993,191.529999,193.300003,193.300003,78600
2017-02-24,192.419998,194.479996,192.320007,194.330002,194.330002,37500
2017-02-27,193.529999,195.699997,191.710007,194.419998,194.419998,43400
2017-02-28,193.429993,194.990005,191.020004,191.880005,191.880005,60900
2017-03-01,194.070007,194.610001,191.490005,193.779999,193.779999,53400
2017-03-02,193.979996,193.979996,188.539993,190.229996,190.229996,51400
2017-03-03,190.940002,191.089996,187.100006,190.000000,190.000000,49100
2017-03-06,189.000000,189.919998,186.830002,187.949997,187.949997,54600
2017-03-07,187.720001,190.649994,185.919998,187.570007,187.570007,73200
2017-03-08,188.289993,191.910004,186.860001,189.160004,189.160004,65900
2017-03-09,189.910004,190.800003,185.910004,187.619995,187.619995,39500
2017-03-10,185.580002,189.979996,185.429993,186.970001,186.970001,51900
2017-03-13,186.100006,189.679993,186.100006,188.850006,188.850006,54200
2017-03-14,187.809998,188.800003,186.279999,188.619995,188.619995,26600
